Time (UTC +02:00 M/d/yyyy h:mm:ss tt),Peak to peak (A) (V),Frequency (A) (Hz)
4/28/2025 9:59:32 PM,0.037876524,21244.871
4/28/2025 9:59:32 PM,0.037876524,21358.78
4/28/2025 9:59:32 PM,0.038322095,21505.982
4/28/2025 9:59:32 PM,0.037876524,21609.258
4/28/2025 9:59:33 PM,0.037876524,21737.562
4/28/2025 9:59:33 PM,0.037876524,21848.943
4/28/2025 9:59:33 PM,0.037876524,21927.707
4/28/2025 9:59:33 PM,0.037876524,22012.678
4/28/2025 9:59:33 PM,0.037876524,22124.072
4/28/2025 9:59:33 PM,0.036985382,22246.986
4/28/2025 9:59:33 PM,0.037430953,22350.062
4/28/2025 9:59:33 PM,0.037876524,22427.27
4/28/2025 9:59:33 PM,0.037876524,22516.729
4/28/2025 9:59:33 PM,0.037876524,22625.98
4/28/2025 9:59:33 PM,0.037876524,22727.635
4/28/2025 9:59:33 PM,0.037876524,22841.8
4/28/2025 9:59:33 PM,0.037876524,22963.193
4/28/2025 9:59:33 PM,0.037876524,23057.553
4/28/2025 9:59:33 PM,0.037876524,23160.773
4/28/2025 9:59:33 PM,0.038322095,23267.01
4/28/2025 9:59:33 PM,0.037876524,23376.3
4/28/2025 9:59:33 PM,0.038767666,23497.752
4/28/2025 9:59:33 PM,0.037876524,23613.344
4/28/2025 9:59:33 PM,0.037430953,23719.93
4/28/2025 9:59:33 PM,0.037876524,23844.256
4/28/2025 9:59:33 PM,0.037430953,23932.164
4/28/2025 9:59:33 PM,0.037430953,24018.361
4/28/2025 9:59:33 PM,0.037876524,24112.654
4/28/2025 9:59:33 PM,0.037876524,24232.568
4/28/2025 9:59:33 PM,0.037876524,24329.238
4/28/2025 9:59:33 PM,0.037876524,24457.918
4/28/2025 9:59:33 PM,0.037876524,24567.61
4/28/2025 9:59:33 PM,0.037876524,24661.555
4/28/2025 9:59:33 PM,0.037876524,24790.436
4/28/2025 9:59:33 PM,0.037430953,24913.205
4/28/2025 9:59:33 PM,0.037876524,25017.613
4/28/2025 9:59:33 PM,0.038322095,25110.889
4/28/2025 9:59:33 PM,0.037876524,25246.86
4/28/2025 9:59:33 PM,0.037876524,25340.545
4/28/2025 9:59:33 PM,0.038322095,25470.094
4/28/2025 9:59:33 PM,0.037876524,25580.22
4/28/2025 9:59:33 PM,0.037430953,25673.94
4/28/2025 9:59:33 PM,0.037430953,25794.096
4/28/2025 9:59:33 PM,0.037876524,25884.488
4/28/2025 9:59:33 PM,0.038322095,26011.652
4/28/2025 9:59:33 PM,0.037876524,26131.775
4/28/2025 9:59:33 PM,0.037876524,26245.352
4/28/2025 9:59:33 PM,0.037876524,26352.283
