Time,Channel 
(ms),(V)

0.97874099,3.50962853
0.97938099,3.68541527
0.98002099,3.68541527
0.98066099,3.68541527
0.98130099,3.68541527
0.98194099,3.68541527
0.98258099,3.68541527
0.98322099,3.86181211
0.98386099,3.86181211
0.98450099,3.86181211
0.98514099,3.86181211
0.98578099,3.68541527
0.98642099,3.86181211
0.98706099,3.86181211
0.98770099,3.68541527
0.98834099,3.86181211
0.98898099,3.68541527
0.98962099,3.68541527
0.99026099,3.68541527
0.99090099,3.50962853
0.99154099,3.68541527
0.99218099,3.50962853
0.99282099,3.50962853
0.99346099,3.50962853
0.99410099,3.33323169
0.99474099,3.33323169
0.99538099,3.33323169
0.99602099,3.33323169
0.99666099,3.15683460
0.99730099,3.15683460
0.99794099,2.98043752
0.99858099,2.98043752
0.99922099,2.80465102
0.99986099,2.98043752
1.00050099,2.80465102
1.00114099,2.62825394
1.00178099,2.62825394
1.00242099,2.62825394
1.00306099,2.45185709
1.00370099,2.45185709
1.00434099,2.27546000
1.00498099,2.27546000
1.00562099,2.27546000
1.00626099,2.09967351
1.00690099,2.09967351
1.00754099,1.92327642
1.00818099,1.92327642
1.00882099,1.92327642
1.00946099,1.74687946
1.01010099,1.74687946
1.01074099,1.74687946
1.01138099,1.74687946
1.01202099,1.57048249
1.01266099,1.57048249
1.01330099,1.57048249
1.01394099,1.39469588
1.01458099,1.39469588
1.01522099,1.39469588
1.01586099,1.21829891
1.01650099,1.21829891
1.01714099,1.21829891
1.01778099,1.21829891
1.01842099,1.21829891
1.01906099,1.21829891
1.01970099,1.21829891
1.02034099,1.21829891
1.02098099,1.21829891
1.02162099,1.04190195
1.02226099,1.21829891
1.02290099,1.04190195
1.02354099,1.04190195
1.02418099,1.21829891
1.02482099,1.04190195
1.02546099,1.04190195
1.02610099,1.04190195
1.02674099,1.04190195
1.02738099,1.04190195
1.02802099,1.04190195
1.02866099,1.04190195
1.02930099,1.21829891
1.02994099,1.21829891
1.03058099,1.21829891
1.03122099,1.21829891
1.03186099,1.21829891
1.03250099,1.21829891
1.03314099,1.21829891
1.03378099,1.21829891
1.03442099,1.39469588
1.03506099,1.39469588
1.03570099,1.39469588
1.03634099,1.39469588
1.03698099,1.39469588
1.03762099,1.57048249
1.03826099,1.39469588
1.03890099,1.57048249
1.03954099,1.57048249
1.04018099,1.57048249
1.04082099,1.57048249
1.04146099,1.57048249
1.04210099,1.57048249
1.04274099,1.57048249
1.04338099,1.57048249
1.04402099,1.57048249
1.04466099,1.57048249
1.04530099,1.74687946
1.04594099,1.57048249
1.04658099,1.57048249
1.04722099,1.57048249
1.04786099,1.57048249
1.04850099,1.57048249
1.04914099,1.57048249
1.04978099,1.57048249
1.05042099,1.57048249
1.05106099,1.57048249
1.05170099,1.57048249
1.05234099,1.57048249
1.05298099,1.57048249
1.05362099,1.57048249
1.05426099,1.39469588
1.05490099,1.39469588
1.05554099,1.39469588
1.05618099,1.39469588
1.05682099,1.21829891
1.05746099,1.21829891
1.05810099,1.04190195
1.05874099,1.04190195
1.05938099,1.04190195
1.06002099,0.86550492
1.06066099,0.86550492
1.06130099,0.68971831
1.06194099,0.68971831
1.06258099,0.68971831
1.06322099,0.51332134
1.06386099,0.51332134
1.06450099,0.33692434
1.06514099,0.33692434
1.06578099,0.16052736
1.06642099,0.16052736
1.06706099,-0.01525925
1.06770099,-0.19104587
1.06834099,-0.19104587
1.06898099,-0.19104587
1.06962099,-0.36744285
1.07026099,-0.54383981
1.07090099,-0.54383981
1.07154099,-0.72023684
1.07218099,-0.89602345
1.07282099,-0.89602345
1.07346099,-1.07242048
1.07410099,-1.07242048
1.07474099,-1.24881744
1.07538099,-1.42521441
1.07602099,-1.60100102
1.07666099,-1.60100102
1.07730099,-1.77739799
1.07794099,-1.77739799
1.07858099,-1.95379496
1.07922099,-1.95379496
1.07986099,-2.13019204
1.08050099,-2.30597854
1.08114099,-2.30597854
1.08178099,-2.30597854
1.08242099,-2.48237562
1.08306099,-2.48237562
1.08370099,-2.65877247
1.08434099,-2.65877247
1.08498099,-2.83516955
1.08562099,-3.01095605
1.08626099,-3.01095605
1.08690099,-3.01095605
1.08754099,-3.18735313
1.08818099,-3.18735313
1.08882099,-3.18735313
1.08946099,-3.36375022
1.09010099,-3.36375022
1.09074099,-3.36375022
1.09138099,-3.54014707
1.09202099,-3.54014707
1.09266099,-3.54014707
1.09330099,-3.54014707
1.09394099,-3.71593380
1.09458099,-3.71593380
1.09522099,-3.71593380
1.09586099,-3.71593380
1.09650099,-3.71593380
1.09714099,-3.71593380
1.09778099,-3.71593380
1.09842099,-3.71593380
1.09906099,-3.71593380
1.09970099,-3.71593380
1.10034099,-3.71593380
1.10098099,-3.71593380
1.10162099,-3.71593380
1.10226099,-3.71593380
1.10290099,-3.71593380
1.10354099,-3.54014707
1.10418099,-3.71593380
1.10482099,-3.54014707
1.10546099,-3.54014707
1.10610099,-3.36375022
1.10674099,-3.36375022
1.10738099,-3.36375022
1.10802099,-3.18735313
1.10866099,-3.18735313
